event_id,user_id,event_timestamp,event_type,feature_name,session_id
evt_000001,user_0001,2024-12-20 13:43:00,signup,account_creation,sess_00001
evt_000002,user_0001,2024-12-20 13:44:00,feature_use,report_create,sess_00001
evt_000003,user_0001,2024-12-20 13:45:00,feature_use,report_create,sess_00001
evt_000004,user_0001,2024-12-20 13:46:00,feature_use,integration_setup,sess_00001
evt_000005,user_0001,2024-12-20 13:47:00,feature_use,integration_setup,sess_00001
evt_000006,user_0001,2024-12-20 13:48:00,feature_use,team_invite,sess_00001
evt_000007,user_0002,2024-12-22 18:01:00,signup,account_creation,sess_00002
evt_000008,user_0002,2024-12-22 18:10:00,feature_use,data_upload,sess_00002
evt_000009,user_0002,2024-12-22 18:19:00,feature_use,report_export,sess_00002
evt_000010,user_0002,2024-12-22 18:29:00,feature_use,team_invite,sess_00002
evt_000011,user_0002,2024-12-22 18:38:00,feature_use,collaboration_edit,sess_00002
evt_000012,user_0002,2024-12-22 18:47:00,feature_use,api_call,sess_00002
evt_000013,user_0002,2024-12-22 18:57:00,feature_use,collaboration_edit,sess_00002
evt_000014,user_0002,2024-12-22 19:06:00,feature_use,report_export,sess_00002
evt_000015,user_0002,2024-06-20 11:43:00,login,dashboard_view,sess_00003
evt_000016,user_0002,2024-06-20 11:51:00,feature_use,report_export,sess_00003
evt_000017,user_0002,2024-06-20 11:59:00,feature_use,report_create,sess_00003
evt_000018,user_0002,2024-06-20 12:07:00,feature_use,report_create,sess_00003
evt_000019,user_0002,2024-06-25 17:59:00,login,dashboard_view,sess_00004
evt_000020,user_0002,2024-06-25 18:06:00,feature_use,data_upload,sess_00004
evt_000021,user_0002,2024-06-25 18:13:00,feature_use,dashboard_view,sess_00004
evt_000022,user_0002,2024-04-18 12:28:00,login,dashboard_view,sess_00005
evt_000023,user_0002,2024-04-18 12:28:00,feature_use,dashboard_view,sess_00005
evt_000024,user_0002,2024-04-18 12:29:00,feature_use,team_invite,sess_00005
evt_000025,user_0002,2024-04-18 12:30:00,feature_use,chart_create,sess_00005
evt_000026,user_0002,2024-04-18 12:31:00,logout,,sess_00005
evt_000027,user_0002,2024-11-27 16:48:00,login,dashboard_view,sess_00006
evt_000028,user_0002,2024-11-27 16:49:00,feature_use,alert_create,sess_00006
evt_000029,user_0002,2024-11-27 16:50:00,feature_use,api_call,sess_00006
evt_000030,user_0002,2024-11-27 16:51:00,feature_use,collaboration_edit,sess_00006
evt_000031,user_0002,2024-05-04 19:44:00,login,dashboard_view,sess_00007
evt_000032,user_0002,2024-05-04 19:44:00,feature_use,dashboard_view,sess_00007
evt_000033,user_0002,2024-05-04 19:44:00,feature_use,integration_setup,sess_00007
evt_000034,user_0002,2024-05-04 19:44:00,feature_use,collaboration_edit,sess_00007
evt_000035,user_0002,2024-05-04 19:44:00,feature_use,alert_create,sess_00007
evt_000036,user_0002,2024-05-04 19:44:00,feature_use,dashboard_view,sess_00007
